date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,VILLE,VILLE,0,0,0.31526723922288,,
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Antigone",152,239,0.36401673640167365,43.60871606,3.88881893
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Comedie",452,666,0.3213213213213213,43.60856092,3.87976196
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Corum",347,480,0.27708333333333335,43.61388821,3.88225773
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Europa",497,591,0.15905245346869712,43.60784971,3.89253074
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Foch",539,620,0.13064516129032258,43.61074912,3.87657084
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Gambetta",212,452,0.5309734513274337,43.60695138,3.87137436
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Gare",498,656,0.24085365853658536,43.604024,3.87891
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Circe",1089,1200,0.0925,43.60495377,3.9178495
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Garcia Lorca",400,400,0.0,43.59098509,3.8907158
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Mosson",328,328,0.0,43.61623716,3.81966554
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Sabines",186,285,0.3473684210526316,43.58383263,3.8602246
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Sablassou",320,379,0.15567282321899736,43.63419194,3.92229536
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Saint Jean Le Sec",235,285,0.17543859649122806,43.57082225,3.8379312
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Euromedecine",124,239,0.4811715481171548,43.63895359,3.82772365
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Occitanie",448,615,0.27154471544715447,43.63456232,3.84859796
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Vicarello",49,64,0.234375,43.63286,3.898411
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Charles de Gaulle",183,260,0.29615384615384616,43.6285421,3.8977621
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,PARKING,"Arc de Triomphe",185,440,0.5795454545454546,43.61100267,3.8732007
