date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,VILLE,VILLE,0,0,0.3447844576002668,,
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Antigone",146,239,0.3891213389121339,43.60871606,3.88881893
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Comedie",414,666,0.3783783783783784,43.60856092,3.87976196
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Corum",309,480,0.35625,43.61388821,3.88225773
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Europa",501,591,0.15228426395939088,43.60784971,3.89253074
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Foch",470,620,0.24193548387096775,43.61074912,3.87657084
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Gambetta",212,452,0.5309734513274337,43.60695138,3.87137436
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Gare",343,656,0.4771341463414634,43.604024,3.87891
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Circe",1158,1200,0.035,43.60495377,3.9178495
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Garcia Lorca",400,400,0.0,43.59098509,3.8907158
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Mosson",251,328,0.2347560975609756,43.61623716,3.81966554
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Sabines",203,285,0.28771929824561404,43.58383263,3.8602246
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Sablassou",316,379,0.1662269129287599,43.63419194,3.92229536
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Saint Jean Le Sec",233,285,0.1824561403508772,43.57082225,3.8379312
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Euromedecine",149,239,0.37656903765690375,43.63895359,3.82772365
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Occitanie",448,615,0.27154471544715447,43.63456232,3.84859796
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Vicarello",48,64,0.25,43.63286,3.898411
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Charles de Gaulle",135,260,0.4807692307692308,43.6285421,3.8977621
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Arc de Triomphe",154,440,0.65,43.61100267,3.8732007
2026-02-12,00:32:00,2026-02-12T00:32:00+01:00,PARKING,"Gaumont-Circe",199,500,0.602,43.60495377,3.9178495
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,VILLE,VILLE,0,0,0.3354456766447094,,
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Antigone",148,239,0.3807531380753138,43.60871606,3.88881893
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Comedie",448,666,0.32732732732732733,43.60856092,3.87976196
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Corum",320,480,0.3333333333333333,43.61388821,3.88225773
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Europa",502,591,0.1505922165820643,43.60784971,3.89253074
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Foch",514,620,0.17096774193548386,43.61074912,3.87657084
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Gambetta",216,452,0.5221238938053098,43.60695138,3.87137436
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Gare",340,656,0.4817073170731707,43.604024,3.87891
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Circe",1165,1200,0.029166666666666667,43.60495377,3.9178495
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Garcia Lorca",400,400,0.0,43.59098509,3.8907158
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Mosson",251,328,0.2347560975609756,43.61623716,3.81966554
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Sabines",205,285,0.2807017543859649,43.58383263,3.8602246
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Sablassou",316,379,0.1662269129287599,43.63419194,3.92229536
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Saint Jean Le Sec",233,285,0.1824561403508772,43.57082225,3.8379312
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Euromedecine",150,239,0.3723849372384937,43.63895359,3.82772365
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Occitanie",451,615,0.26666666666666666,43.63456232,3.84859796
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Vicarello",46,64,0.28125,43.63286,3.898411
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Charles de Gaulle",134,260,0.4846153846153846,43.6285421,3.8977621
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Arc de Triomphe",163,440,0.6295454545454545,43.61100267,3.8732007
2026-02-12,03:10:06,2026-02-12T03:10:06+01:00,PARKING,"Gaumont-Circe",199,500,0.602,43.60495377,3.9178495
