date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,VILLE,VILLE,0,0,0.34417479776499044,,
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Antigone",148,239,0.3807531380753138,43.60871606,3.88881893
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Comedie",402,664,0.39457831325301207,43.60856092,3.87976196
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Corum",303,480,0.36875,43.61388821,3.88225773
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Europa",473,591,0.1996615905245347,43.60784971,3.89253074
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Foch",461,620,0.2564516129032258,43.61074912,3.87657084
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Gambetta",191,452,0.577433628318584,43.60695138,3.87137436
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Gare",253,656,0.614329268292683,43.604024,3.87891
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Circe",1170,1200,0.025,43.60495377,3.9178495
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Garcia Lorca",388,400,0.03,43.59098509,3.8907158
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Mosson",312,328,0.04878048780487805,43.61623716,3.81966554
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Sabines",175,285,0.38596491228070173,43.58383263,3.8602246
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Sablassou",353,379,0.06860158311345646,43.63419194,3.92229536
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Saint Jean Le Sec",234,285,0.17894736842105263,43.57082225,3.8379312
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Euromedecine",139,239,0.41841004184100417,43.63895359,3.82772365
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Occitanie",518,615,0.15772357723577235,43.63456232,3.84859796
2026-01-15,00:31:08,2026-01-15T00:31:08+01:00,PARKING,"Vicarello",47,64,0.265625,43.63286,3.898411
