date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,VILLE,VILLE,0,0,0.3299081950644319,,
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Antigone",140,239,0.41422594142259417,43.60871606,3.88881893
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Comedie",422,666,0.3663663663663664,43.60856092,3.87976196
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Corum",332,480,0.30833333333333335,43.61388821,3.88225773
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Europa",503,591,0.14890016920473773,43.60784971,3.89253074
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Foch",449,500,0.102,43.61074912,3.87657084
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Gambetta",173,452,0.6172566371681416,43.60695138,3.87137436
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Gare",479,656,0.2698170731707317,43.604024,3.87891
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Circe",1169,1200,0.025833333333333333,43.60495377,3.9178495
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Garcia Lorca",390,400,0.025,43.59098509,3.8907158
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Mosson",311,328,0.051829268292682924,43.61623716,3.81966554
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Sabines",197,285,0.3087719298245614,43.58383263,3.8602246
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Sablassou",271,379,0.2849604221635884,43.63419194,3.92229536
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Saint Jean Le Sec",212,285,0.256140350877193,43.57082225,3.8379312
2026-03-06,00:52:08,2026-03-06T00:52:08+01:00,PARKING,"Euromedecine",134,239,0.4393305439330544,43.63895359,3.82772365
